time,SMA
2020-05-28 16:00,321.2960
2020-05-28 15:55,321.5098
2020-05-28 15:50,321.7136
2020-05-28 15:45,321.8851
2020-05-28 15:40,321.9751
2020-05-28 15:35,322.0661
2020-05-28 15:30,322.1854
2020-05-28 15:25,322.3276
2020-05-28 15:20,322.4166
2020-05-28 15:15,322.5171
2020-05-28 15:10,322.5001
2020-05-28 15:05,322.5225
2020-05-28 15:00,322.5359
2020-05-28 14:55,322.5521
2020-05-28 14:50,322.5839
2020-05-28 14:45,322.6042
2020-05-28 14:40,322.6257
2020-05-28 14:35,322.6222
2020-05-28 14:30,322.6212
2020-05-28 14:25,322.6607
2020-05-28 14:20,322.6667
2020-05-28 14:15,322.6605
2020-05-28 14:10,322.6502
2020-05-28 14:05,322.6457
2020-05-28 14:00,322.6327
2020-05-28 13:55,322.5997
2020-05-28 13:50,322.5357
2020-05-28 13:45,322.4585
2020-05-28 13:40,322.3777
2020-05-28 13:35,322.3022
2020-05-28 13:30,322.2137
2020-05-28 13:25,322.1107
2020-05-28 13:20,321.9887
2020-05-28 13:15,321.8630
2020-05-28 13:10,321.7324
2020-05-28 13:05,321.6072
2020-05-28 13:00,321.4742
2020-05-28 12:55,321.3577
2020-05-28 12:50,321.2447
2020-05-28 12:45,321.0897
2020-05-28 12:40,320.9837
2020-05-28 12:35,320.8898
2020-05-28 12:30,320.8040
2020-05-28 12:25,320.7184
2020-05-28 12:20,320.6504
2020-05-28 12:15,320.5774
2020-05-28 12:10,320.5195
2020-05-28 12:05,320.4800
2020-05-28 12:00,320.4010
2020-05-28 11:55,320.3065
2020-05-28 11:50,320.2495
2020-05-28 11:45,320.2080
2020-05-28 11:40,320.1495
2020-05-28 11:35,320.1095
2020-05-28 11:30,320.1075
2020-05-28 11:25,320.0755
2020-05-28 11:20,320.0380
2020-05-28 11:15,319.9395
2020-05-28 11:10,319.7853
2020-05-28 11:05,319.6943
2020-05-28 11:00,319.5503
2020-05-28 10:55,319.3943
2020-05-28 10:50,319.2520
2020-05-28 10:45,319.1006
2020-05-28 10:40,318.9036
2020-05-28 10:35,318.7366
2020-05-28 10:30,318.5686
2020-05-28 10:25,318.3691
2020-05-28 10:20,318.2183
2020-05-28 10:15,318.0663
2020-05-28 10:10,317.8953
2020-05-28 10:05,317.7468
2020-05-28 10:00,317.6163
2020-05-28 09:55,317.4528
2020-05-28 09:50,317.2372
2020-05-28 09:45,317.0642
2020-05-28 09:40,316.9239
2020-05-28 09:35,316.8234
2020-05-27 16:00,316.7662
2020-05-27 15:55,316.6747
2020-05-27 15:50,316.6012
2020-05-27 15:45,316.5281
2020-05-27 15:40,316.4536
2020-05-27 15:35,316.3576
2020-05-27 15:30,316.2926
2020-05-27 15:25,316.1936
2020-05-27 15:20,316.0832
2020-05-27 15:15,316.0062
2020-05-27 15:10,315.8892
2020-05-27 15:05,315.8217
2020-05-27 15:00,315.7542
2020-05-27 14:55,315.6767
2020-05-27 14:50,315.6184
2020-05-27 14:45,315.5814
2020-05-27 14:40,315.5584
2020-05-27 14:35,315.5249
2020-05-27 14:30,315.4868
2020-05-27 14:25,315.4348
2020-05-27 14:20,315.3508
2020-05-27 14:15,315.2678
2020-05-27 14:10,315.1880
2020-05-27 14:05,315.0996
2020-05-27 14:00,315.0181
2020-05-27 13:55,314.9936
2020-05-27 13:50,314.9746
2020-05-27 13:45,314.9846
2020-05-27 13:40,315.0070
2020-05-27 13:35,314.9900
2020-05-27 13:30,315.0105
2020-05-27 13:25,314.9905
2020-05-27 13:20,314.9450
2020-05-27 13:15,314.8720
2020-05-27 13:10,314.8603
2020-05-27 13:05,314.8628
2020-05-27 13:00,314.8783
2020-05-27 12:55,314.9018
2020-05-27 12:50,314.8893
2020-05-27 12:45,314.8943
2020-05-27 12:40,314.9163
2020-05-27 12:35,314.9248
2020-05-27 12:30,314.9410
2020-05-27 12:25,314.8960
